,symbol,rate,time
338,BTCUSDT,-0.00011402,2020-04-22 16:00:00
339,BTCUSDT,-0.00031244,2020-04-23 00:00:00
340,BTCUSDT,-0.00022340,2020-04-23 08:00:00
341,BTCUSDT,-0.00015491,2020-04-23 16:00:00
342,BTCUSDT,0.00010000,2020-04-24 00:00:00
343,BTCUSDT,0.00010000,2020-04-24 08:00:00
344,BTCUSDT,0.00010000,2020-04-24 16:00:00
345,BTCUSDT,0.00010000,2020-04-25 00:00:00
346,BTCUSDT,0.00010000,2020-04-25 08:00:00
347,BTCUSDT,0.00010000,2020-04-25 16:00:00
348,BTCUSDT,0.00010000,2020-04-26 00:00:00
349,BTCUSDT,0.00010000,2020-04-26 08:00:00
350,BTCUSDT,0.00007493,2020-04-26 16:00:00
351,BTCUSDT,0.00010000,2020-04-27 00:00:00
352,BTCUSDT,0.00010000,2020-04-27 08:00:00
353,BTCUSDT,0.00010000,2020-04-27 16:00:00
354,BTCUSDT,0.00010000,2020-04-28 00:00:00
355,BTCUSDT,0.00010000,2020-04-28 08:00:00
356,BTCUSDT,0.00010000,2020-04-28 16:00:00
357,BTCUSDT,0.00010000,2020-04-29 00:00:00
358,BTCUSDT,0.00010000,2020-04-29 08:00:00
359,BTCUSDT,0.00010000,2020-04-29 16:00:00
360,BTCUSDT,0.00010000,2020-04-30 00:00:00
361,BTCUSDT,0.00013208,2020-04-30 08:00:00
362,BTCUSDT,0.00097517,2020-04-30 16:00:00
363,BTCUSDT,0.00010000,2020-05-01 00:00:00
364,BTCUSDT,0.00021072,2020-05-01 08:00:00
365,BTCUSDT,0.00017885,2020-05-01 16:00:00
366,BTCUSDT,0.00013528,2020-05-02 00:00:00
367,BTCUSDT,0.00010000,2020-05-02 08:00:00
368,BTCUSDT,0.00010000,2020-05-02 16:00:00
369,BTCUSDT,0.00010144,2020-05-03 00:00:00
370,BTCUSDT,0.00010000,2020-05-03 08:00:00
371,BTCUSDT,0.00019810,2020-05-03 16:00:00
372,BTCUSDT,0.00015162,2020-05-04 00:00:00
373,BTCUSDT,0.00011925,2020-05-04 08:00:00
374,BTCUSDT,0.00010000,2020-05-04 16:00:00
375,BTCUSDT,0.00010000,2020-05-05 00:00:00
376,BTCUSDT,0.00010000,2020-05-05 08:00:00
377,BTCUSDT,0.00010000,2020-05-05 16:00:00
378,BTCUSDT,0.00010000,2020-05-06 00:00:00
379,BTCUSDT,0.00010000,2020-05-06 08:00:00
380,BTCUSDT,0.00010000,2020-05-06 16:00:00
381,BTCUSDT,0.00035981,2020-05-07 00:00:00
382,BTCUSDT,0.00010000,2020-05-07 08:00:00
383,BTCUSDT,0.00010000,2020-05-07 16:00:00
384,BTCUSDT,0.00010000,2020-05-08 00:00:00
